
account_id,hospital_name,region,hospital_size,contract_start_date,contract_value_annual,renewal_status
A001,Hospital_1,South,Large,2023-07-27,201626,Pending
A002,Hospital_2,Northeast,Medium,2023-08-25,199176,Pending
A003,Hospital_3,West,Large,2023-12-04,473422,Renewed
A004,Hospital_4,South,Large,2023-02-22,298126,Renewed
A005,Hospital_5,South,Small,2023-10-07,298969,Renewed
A006,Hospital_6,Northeast,Large,2023-08-05,202409,Renewed
A007,Hospital_7,West,Small,2023-09-09,103419,Renewed
A008,Hospital_8,West,Large,2023-07-07,333618,Renewed
A009,Hospital_9,South,Large,2023-02-10,325310,Pending
A010,Hospital_10,Midwest,Small,2023-06-06,130015,Renewed
A011,Hospital_11,South,Small,2023-01-15,328550,Renewed
A012,Hospital_12,South,Large,2023-10-28,202096,Churned
A013,Hospital_13,South,Medium,2023-03-06,187059,Renewed
A014,Hospital_14,South,Small,2023-12-11,265340,Pending
A015,Hospital_15,Northeast,Medium,2023-11-23,190687,Pending
A016,Hospital_16,West,Medium,2023-01-09,430083,Renewed
A017,Hospital_17,Northeast,Medium,2023-12-10,491357,Renewed
A018,Hospital_18,Northeast,Small,2023-05-09,291428,Renewed
A019,Hospital_19,Northeast,Medium,2023-05-16,185878,Renewed
A020,Hospital_20,South,Small,2023-03-04,282982,Renewed
A021,Hospital_21,Midwest,Medium,2023-05-19,278286,Churned
A022,Hospital_22,West,Large,2023-03-22,329002,Renewed
A023,Hospital_23,Midwest,Large,2023-06-12,330396,Renewed
A024,Hospital_24,Northeast,Small,2023-10-16,244899,Renewed
A025,Hospital_25,Northeast,Large,2023-09-18,404767,Pending
A026,Hospital_26,Midwest,Large,2023-08-19,417594,Renewed
A027,Hospital_27,Midwest,Medium,2023-02-10,435570,Renewed
A028,Hospital_28,Midwest,Small,2023-01-28,459989,Renewed
A029,Hospital_29,Northeast,Medium,2023-05-15,495515,Pending
A030,Hospital_30,Northeast,Medium,2023-07-20,123585,Renewed
A031,Hospital_31,West,Medium,2023-11-24,451369,Churned
A032,Hospital_32,West,Medium,2023-09-25,144044,Churned
A033,Hospital_33,Northeast,Medium,2023-02-02,189556,Renewed
A034,Hospital_34,Midwest,Medium,2023-02-17,82693,Churned
A035,Hospital_35,Midwest,Medium,2023-03-03,437403,Renewed
A036,Hospital_36,West,Small,2023-08-04,323307,Churned
A037,Hospital_37,Northeast,Large,2023-10-20,280235,Churned
A038,Hospital_38,West,Medium,2023-04-09,105939,Renewed
A039,Hospital_39,West,Medium,2023-06-21,232906,Renewed
A040,Hospital_40,South,Medium,2023-12-26,98047,Pending
A041,Hospital_41,South,Medium,2023-08-02,368249,Renewed
A042,Hospital_42,South,Medium,2023-02-04,155766,Renewed
A043,Hospital_43,Midwest,Medium,2023-08-15,488923,Renewed
A044,Hospital_44,Northeast,Large,2023-04-11,495192,Renewed
A045,Hospital_45,Northeast,Large,2023-05-11,124262,Churned
A046,Hospital_46,Northeast,Medium,2023-09-14,467261,Renewed
A047,Hospital_47,Northeast,Large,2023-01-05,365920,Renewed
A048,Hospital_48,South,Small,2023-08-06,241152,Renewed
A049,Hospital_49,Midwest,Medium,2023-09-12,208376,Churned
A050,Hospital_50,Midwest,Small,2023-12-25,217848,Renewed
