
account_id,billing_month,invoices_sent,invoices_paid,payment_delay_days
A001,2025-01,44310,40527,1
A001,2025-02,47937,46055,10
A001,2025-03,44723,42835,22
A001,2025-04,24749,20027,10
A001,2025-05,38866,35493,2
A001,2025-06,31137,29267,17
A002,2025-01,8851,6756,24
A002,2025-02,5626,4002,24
A002,2025-03,14522,12709,22
A002,2025-04,16904,12652,11
A002,2025-05,36078,31916,23
A002,2025-06,46993,42207,22
A003,2025-01,41590,38562,19
A003,2025-02,5235,4757,17
A003,2025-03,16169,14373,22
A003,2025-04,18357,14976,25
A003,2025-05,31547,28979,30
A003,2025-06,31707,31662,6
A004,2025-01,44928,44684,14
A004,2025-02,18506,14332,29
A004,2025-03,41566,41545,0
A004,2025-04,13730,11781,16
A004,2025-05,47691,45278,24
A004,2025-06,36823,33272,11
A005,2025-01,20523,16142,27
A005,2025-02,45258,43328,13
A005,2025-03,15774,12773,16
A005,2025-04,22480,17587,7
A005,2025-05,18784,18083,19
A005,2025-06,37399,36668,27
A006,2025-01,33202,29239,25
A006,2025-02,40103,38269,2
A006,2025-03,24812,22392,25
A006,2025-04,20857,20392,2
A006,2025-05,29178,27269,24
A006,2025-06,19831,16482,22
A007,2025-01,45153,41217,19
A007,2025-02,44042,43866,17
A007,2025-03,34017,31860,20
A007,2025-04,35429,32148,8
A007,2025-05,7221,6039,26
A007,2025-06,7319,6436,18
A008,2025-01,24823,24133,4
A008,2025-02,21029,19762,10
A008,2025-03,28680,28037,20
A008,2025-04,21632,18570,2
A008,2025-05,41646,38196,12
A008,2025-06,7371,4617,5
A009,2025-01,39261,36242,18
A009,2025-02,28125,26412,16
A009,2025-03,15319,13096,18
A009,2025-04,39171,38891,4
A009,2025-05,42572,39243,14
A009,2025-06,21434,21241,26
A010,2025-01,11247,8090,8
A010,2025-02,42887,40572,5
A010,2025-03,9090,5436,27
A010,2025-04,14514,12737,3
A010,2025-05,38538,35377,13
A010,2025-06,48188,46051,9
A011,2025-01,8547,5536,1
A011,2025-02,35362,34723,30
A011,2025-03,8814,6103,11
A011,2025-04,5256,1344,30
A011,2025-05,44819,43493,29
