event_id,account_id,user_id,event_name,feature_name,event_timestamp,session_id
E554699,A005,U96912,patient_upload,scheduling,2025-05-29,S37507
E404824,A005,U87737,alert_acknowledged,scheduling,2025-02-04,S28913
E268198,A048,U86274,login,analytics,2025-06-12,S81739
E107749,A042,U83055,report_exported,monitoring,2025-03-29,S78852
E647989,A013,U39986,patient_upload,monitoring,2025-06-28,S88943
E662521,A050,U88296,login,monitoring,2025-03-08,S24719
E312143,A012,U68895,report_exported,monitoring,2025-06-05,S50625
E617930,A029,U14166,login,monitoring,2025-05-06,S83745
E645827,A049,U72122,report_exported,scheduling,2025-06-13,S73425
E271242,A034,U35880,patient_upload,analytics,2025-04-15,S92491
E208326,A038,U61529,alert_acknowledged,scheduling,2025-06-03,S41386
E115672,A043,U36789,login,scheduling,2025-05-16,S38923
E106280,A041,U42912,patient_upload,monitoring,2025-03-02,S36090
E779982,A019,U82487,login,analytics,2025-04-01,S88698
E940910,A041,U55911,patient_upload,scheduling,2025-03-09,S54265
E886242,A003,U46858,report_exported,monitoring,2025-06-17,S44125
E292679,A005,U74634,login,analytics,2025-03-30,S73274
E827484,A008,U32793,login,scheduling,2025-05-07,S42212
E820616,A041,U91933,report_exported,monitoring,2025-05-08,S23324
E616946,A015,U39026,login,scheduling,2025-01-01,S88829
E130968,A046,U82190,report_exported,monitoring,2025-04-11,S35729
E436234,A049,U90698,report_exported,scheduling,2025-03-25,S63688
E953860,A047,U70408,login,analytics,2025-03-01,S94940
E671310,A008,U44609,report_exported,scheduling,2025-02-15,S93096
E470496,A040,U35490,login,monitoring,2025-01-21,S20493
E924346,A020,U46238,report_exported,scheduling,2025-02-25,S43705
E881830,A011,U48456,report_exported,analytics,2025-03-23,S15909
E857497,A015,U51568,alert_acknowledged,scheduling,2025-06-03,S94120
E802281,A007,U99267,report_exported,analytics,2025-02-17,S43501
E256795,A031,U18991,patient_upload,scheduling,2025-01-13,S82339
E290675,A013,U93329,login,analytics,2025-06-09,S99027
E452630,A029,U55114,alert_acknowledged,scheduling,2025-05-06,S98168
E234058,A034,U35880,patient_upload,scheduling,2025-02-13,S22373
E396899,A036,U29340,patient_upload,monitoring,2025-04-17,S45374
E664427,A042,U56470,alert_acknowledged,monitoring,2025-03-17,S55177
E389675,A009,U25132,patient_upload,analytics,2025-04-23,S74228
E800881,A034,U86785,login,scheduling,2025-06-23,S61525
E812028,A042,U38250,login,scheduling,2025-06-28,S83877
E158812,A015,U76353,login,scheduling,2025-06-09,S39571
E840228,A016,U28815,report_exported,monitoring,2025-03-16,S40424
E886850,A002,U19130,patient_upload,analytics,2025-04-08,S41177
E914871,A010,U42515,login,monitoring,2025-04-28,S86686
E878607,A011,U78722,report_exported,scheduling,2025-02-21,S69215
E132557,A036,U74330,patient_upload,scheduling,2025-03-02,S87317
E703482,A005,U48445,login,analytics,2025-03-25,S57357
E167662,A050,U88296,patient_upload,analytics,2025-04-26,S53837
E577090,A049,U92366,alert_acknowledged,analytics,2025-01-25,S48332
E925696,A032,U59235,report_exported,monitoring,2025-03-25,S13499
E541528,A005,U82789,report_exported,scheduling,2025-03-09,S15499
E311303,A041,U52237,report_exported,analytics,2025-01-08,S42131
E169072,A040,U17717,alert_acknowledged,analytics,2025-05-19,S99627
E438779,A024,U44926,patient_upload,scheduling,2025-04-26,S68704
E916238,A046,U29713,patient_upload,scheduling,2025-01-15,S60581
E298604,A022,U59746,report_exported,analytics,2025-05-03,S41073
E770711,A016,U10479,patient_upload,monitoring,2025-03-29,S63346
E384508,A035,U73411,alert_acknowledged,monitoring,2025-03-21,S72590
E594135,A011,U93350,alert_acknowledged,analytics,2025-03-11,S99943
E363284,A022,U40799,login,analytics,2025-02-10,S81327
E450057,A025,U65182,alert_acknowledged,scheduling,2025-05-29,S75564
E218468,A024,U65826,login,analytics,2025-02-16,S42905
E253617,A011,U48456,login,monitoring,2025-02-22,S26756
E107234,A016,U10028,alert_acknowledged,monitoring,2025-01-30,S87383
E479532,A040,U67742,login,scheduling,2025-04-30,S25719
E839490,A027,U14939,report_exported,scheduling,2025-03-31,S44399
E619742,A030,U72217,patient_upload,scheduling,2025-06-21,S40384
